FswTime(sec),CurrentYear(year),CurrentMonth(month),CurrentDay(day),CurrentHour(hour),CurrentMinute(min),CurrentSecond(sec),Latitude(rad),Longitude(rad),Altitude(m),RawPrimaryGenericPointData[0](),RawPrimaryGenericPointData[1](),RawPrimaryGenericPointData[2](),RawSecondaryGenericPointData[0](),RawSecondaryGenericPointData[1](),RawSecondaryGenericPointData[2](),Q_B_I[0](1),Q_B_I[1](1),Q_B_I[2](1),Q_B_I[3](1),Q_E_I[0](1),Q_E_I[1](1),Q_E_I[2](1),Q_E_I[3](1),SensedPos_I__GPS[0](m),SensedPos_I__GPS[1](m),SensedPos_I__GPS[2](m),SensedVel_I__GPS[0](m/sec),SensedVel_I__GPS[1](m/sec),SensedVel_I__GPS[2](m/sec),AttitudeError[0](rad),AttitudeError[1](rad),AttitudeError[2](rad),AngVel_B_I[0](rad/sec),AngVel_B_I[1](rad/sec),AngVel_B_I[2](rad/sec),AngVelMag_B_I(rad/sec),LastNewWheelTime__RWA_A(sec),LastNewWheelTime__RWA_B(sec),LastNewWheelTime__RWA_C(sec),SensedWheelSpeed__RWA_A(rad/sec),SensedWheelSpeed__RWA_B(rad/sec),SensedWheelSpeed__RWA_C(rad/sec),WheelCmd__RWA_A(N*m),WheelCmd__RWA_B(N*m),WheelCmd__RWA_C(N*m),DesiredWheelCommand[0](N*m),DesiredWheelCommand[1](N*m),DesiredWheelCommand[2](N*m),WheelSpeedReceived__RWA_A(1),WheelSpeedReceived__RWA_B(1),WheelSpeedReceived__RWA_C(1),WheelTorqueReceived__RWA_A(1),WheelTorqueReceived__RWA_B(1),WheelTorqueReceived__RWA_C(1),TotalTorqueRodCommand[0](A*m^2),TotalTorqueRodCommand[1](A*m^2),TotalTorqueRodCommand[2](A*m^2),Pos_I[0](m),Pos_I[1](m),Pos_I[2](m),Vel_I[0](m/sec),Vel_I[1](m/sec),Vel_I[2](m/sec),ExtrapolatedPos_I[0](m),ExtrapolatedPos_I[1](m),ExtrapolatedPos_I[2](m),ExtrapolatedVel_I[0](m/sec),ExtrapolatedVel_I[1](m/sec),ExtrapolatedVel_I[2](m/sec),SemiMajorAxis(m),Eccentricity(1),Inclination(deg),Raan(deg),ArgPerigee(deg),TrueAnomaly(deg),Mode(),TrackerValid__ST(),GpsTime__GPS(sec),GpsSeconds__GPS(msec),GpsWeek__GPS(),StateOfCharge__BAT(A*hr),PercentSoC__BAT(1),DepthOfDischarge__BAT(1),IncomingCharge__BAT(W),InEclipse(),TotalLoad__BAT(W),IMUAccMag__IMU(m/sec^2),IMUAccUnit__IMU[0](1),IMUAccUnit__IMU[1](1),IMUAccUnit__IMU[2](1),IMURate_B__IMU[0](rad/sec),IMURate_B__IMU[1](rad/sec),IMURate_B__IMU[2](rad/sec),IMURateMag__IMU(rad/sec),IMURateValid__IMU(),LastNewAccTime__IMU(sec),LastNewTrackerTime__ST(sec),TrackerRateMag__ST(rad/sec),TrackerQ_J_ST__ST[0](1),TrackerQ_J_ST__ST[1](1),TrackerQ_J_ST__ST[2](1),TrackerQ_J_ST__ST[3](1),BField_B__TAM[0](T),BField_B__TAM[1](T),BField_B__TAM[2](T),BField_MAG__TAM[0](T),BField_MAG__TAM[1](T),BField_MAG__TAM[2](T),LastNewMagTime__TAM(sec),SunBetaAngle(rad),SunUnit_B[0](1),SunUnit_B[1](1),SunUnit_B[2](1),SunSensorIsGood__MX_SN07_32(),SunSensorIsGood__MXPYPZ_SN07_29(),SunSensorIsGood__MXMYPZ_SN07_29(),SunSensorIsGood__MXMYMZ_SN07_30(),SunSensorIsGood__MXPYMZ_SN07_21(),SunSensorIsGood__PX_SN07_25(),SunSensorIsGood__MXPYPZ_SN07_34(),SunSensorIsGood__PXMYPZ_SN07_33(),SunSensorIsGood__PXMYMZ_SN07_22(),SunSensorIsGood__PXPYMZ_SN07_28(),TrackerDataIsGood__ST(),TrackerRateIsGood__ST(),MagDataIsGood__TAM(),LastNewGpsTime__GPS(sec),AngleToPrimaryTarget(rad),Variant,Run_Batch,date_loaded,date_created,UTC,Longitude(deg),Latitude(deg),TimeDelay,AttackIntensity,Scenario,Run_Batch_Variant,result_label
59,2025,5,0,12,37,14,0.564488,-0.757907,900001,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.147511,0.491724,0.431943,-0.741535,0.911343,0.000509748,0.00111998,0.411647,6133370.0,556384.0,3878620.0,3984.36,-866.484,-6176.4,0.00185367,0.000928604,0.0032644,0.00194573,-0.00119343,0.00393892,0.0045525,59,59,59,-7.24874,2.58641,-14.5934,-0.00125594,0.0011277,-0.00471326,0.00125062,-0.00112451,0.00471685,0,0,0,0,0,0,-0.000945931,0.000558767,0.00109038,6133360.0,556394.0,3878600.0,3984.23,-866.567,-6175.84,6133370.0,556384.0,3878620.0,3984.36,-866.484,-6176.4,7278040.0,2.1891e-05,98.0384,-179.919,21.1775,126.261,8,1,1430138234,391034,2364,520159,0.80138,0.19862,201.566,0,0.0,0,0,0,0,0.00194573,-0.00119343,0.00393892,0.0045525,1,0,59.0,0.0041513,0.126918,0.828123,0.438436,-0.325388,1.5752e-05,-1.67055e-05,2.2226e-05,1.5752e-05,1.67055e-05,-2.2226e-05,59,0.596871,-0.455339,-0.00016221,-0.890318,0,0,0,2,2,0,0,0,0,0,1,1,1,59,0.00207326,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:36:56,-43.42487236342168,32.342779985780815,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
60,2025,5,0,12,37,15,0.563486,-0.75818,900007,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.148783,0.492015,0.430294,-0.742046,0.911328,0.000509789,0.00111996,0.41168,6137340.0,555537.0,3872420.0,3978.12,-867.179,-6180.4,0.00152527,0.000331859,0.00286145,0.00195019,-0.00119172,0.0039202,0.00453778,60,60,60,-7.26603,2.58167,-14.5238,-0.000943777,0.0019478,-0.00422193,0.000938418,-0.00194456,0.00422558,0,0,0,0,0,0,-0.000957007,0.000573222,0.00110577,6137350.0,555525.0,3872430.0,3977.92,-867.16,-6179.82,6137340.0,555537.0,3872420.0,3978.12,-867.179,-6180.4,7278030.0,2.71367e-05,98.0385,-179.919,23.7173,123.78,8,1,1430138235,391035,2364,520176,0.801405,0.198595,202.021,0,0.0,0,0,0,0,0.00195019,-0.00119172,0.0039202,0.00453778,1,0,60.0,0.0043268,0.124931,0.828655,0.437815,-0.32564,1.56567e-05,-1.67487e-05,2.22328e-05,1.56567e-05,1.67487e-05,-2.22328e-05,60,0.596872,-0.456813,-4.91385e-05,-0.889563,0,0,0,2,2,0,0,0,0,0,1,1,1,60,0.00156096,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:36:57,-43.44051411122875,32.285369614708706,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
61,2025,5,0,12,37,16,0.562483,-0.758451,900005,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.149961,0.492776,0.428494,-0.742345,0.911313,0.00050983,0.00111995,0.411713,6141330.0,554663.0,3866250.0,3971.91,-867.67,-6184.56,0.00147953,0.000687866,0.00296611,0.00195858,-0.00117471,0.00390747,0.00452596,61,61,61,-7.29794,2.54294,-14.4764,-0.00112508,0.000781673,-0.00457075,0.00111968,-0.000778365,0.00457445,0,0,0,0,0,0,-0.000967945,0.000588369,0.00112147,6141320.0,554663.0,3866250.0,3971.56,-867.696,-6183.83,6141330.0,554663.0,3866250.0,3971.91,-867.67,-6184.56,7278030.0,2.5363e-05,98.0383,-179.919,21.4932,126.062,8,1,1430138236,391036,2364,520193,0.801431,0.198569,202.473,0,0.0,0,0,0,0,0.00195858,-0.00117471,0.00390747,0.00452596,1,0,61.0,0.00460297,0.122934,0.82945,0.437016,-0.325449,1.55612e-05,-1.67909e-05,2.22401e-05,1.55612e-05,1.67909e-05,-2.22401e-05,61,0.59687,-0.457449,4.23379e-05,-0.889236,0,0,0,2,2,0,0,0,0,0,1,1,1,61,0.00163161,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:36:58,-43.4560412674768,32.227901947857085,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
62,2025,5,0,12,37,17,0.56148,-0.758722,900008,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.151281,0.493173,0.426674,-0.742862,0.911298,0.00050987,0.00111993,0.411746,6145290.0,553787.0,3860060.0,3965.48,-868.215,-6188.56,0.00140715,0.000169674,0.00294817,0.00196461,-0.00117943,0.0038901,0.00451482,62,62,62,-7.32109,2.55251,-14.4117,-0.00127725,0.0017102,-0.00471875,0.0012718,-0.00170684,0.00472252,0,0,0,0,0,0,-0.000978771,0.000603287,0.00113682,6145290.0,553794.0,3860060.0,3965.23,-868.275,-6187.82,6145290.0,553787.0,3860060.0,3965.47,-868.215,-6188.56,7278060.0,2.64757e-05,98.0383,-179.919,31.7823,115.831,8,1,1430138237,391037,2364,520210,0.801457,0.198543,202.923,0,0.0,0,0,0,0,0.00196461,-0.00117943,0.0038901,0.00451482,1,0,62.0,0.00468323,0.120808,0.830072,0.436282,-0.325644,1.54655e-05,-1.68319e-05,2.22478e-05,1.54655e-05,1.68319e-05,-2.22478e-05,62,0.596871,-0.458868,0.000102838,-0.888504,0,0,0,2,2,0,0,0,0,0,1,1,1,62,0.00141734,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:36:59,-43.47156842372485,32.17043428100546,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
63,2025,5,0,12,37,18,0.560477,-0.758994,900007,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.152146,0.49371,0.425084,-0.743239,0.911283,0.000509911,0.00111991,0.411779,6149250.0,552926.0,3853870.0,3959.1,-868.648,-6192.57,0.00137132,0.000463979,0.0022138,0.00196875,-0.0011673,0.00387068,0.00449675,63,63,63,-7.33725,2.52461,-14.3394,-0.00150551,0.000666591,-0.00347284,0.00150002,-0.000663162,0.00347667,0,0,0,0,0,0,-0.000989462,0.000618635,0.00115229,6149250.0,552923.0,3853870.0,3958.87,-868.866,-6191.82,6149250.0,552926.0,3853870.0,3959.1,-868.648,-6192.57,7278060.0,2.51614e-05,98.0384,-179.919,30.3393,117.333,8,1,1430138238,391038,2364,520227,0.801483,0.198517,203.37,0,0.0,0,0,0,0,0.00196875,-0.0011673,0.00387068,0.00449675,1,0,63.0,0.00384987,0.119188,0.830728,0.435476,-0.325646,1.53697e-05,-1.68719e-05,2.22558e-05,1.53697e-05,1.68719e-05,-2.22558e-05,63,0.596872,-0.459573,-0.000199923,-0.88814,0,0,0,2,2,0,0,0,0,0,1,1,1,63,0.00144769,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:00,-43.4871528757524,32.11296661415384,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
64,2025,5,0,12,37,19,0.559474,-0.759265,900002,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.153553,0.494299,0.423298,-0.743579,0.911268,0.000509952,0.00111989,0.411813,6153190.0,552064.0,3847670.0,3952.6,-869.403,-6196.43,0.00108656,0.000360712,0.00256382,0.0019702,-0.00117419,0.00386593,0.00449509,64,64,64,-7.34345,2.53901,-14.3215,-0.00118318,0.000791763,-0.00471081,0.00117763,-0.00078826,0.0047147,0,0,0,0,0,0,-0.00100012,0.00063425,0.00116786,6153200.0,552056.0,3847680.0,3952.47,-869.421,-6195.81,6153190.0,552064.0,3847670.0,3952.6,-869.403,-6196.43,7278020.0,2.37321e-05,98.0383,-179.919,15.3847,132.345,8,1,1430138239,391039,2364,520244,0.80151,0.19849,203.816,0,0.0,0,0,0,0,0.0019702,-0.00117419,0.00386593,0.00449509,1,0,64.0,0.00474606,0.11701,0.831405,0.43482,-0.325586,1.52738e-05,-1.69109e-05,2.22642e-05,1.52738e-05,1.69109e-05,-2.22642e-05,64,0.596871,-0.460638,0.00021708,-0.887588,0,0,0,1,2,0,0,0,0,0,1,1,1,64,0.00114487,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:01,-43.50268003200045,32.05549894730222,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
65,2025,5,0,12,37,20,0.558471,-0.759535,899997,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.155122,0.494715,0.421717,-0.743874,0.911253,0.000509993,0.00111987,0.411846,6157170.0,551197.0,3841460.0,3946.18,-870.04,-6199.86,0.000255377,-1.81044e-05,0.00284632,0.00197547,-0.00117885,0.00384665,0.00448207,65,65,65,-7.36382,2.54842,-14.2498,0.000357347,0.00154892,-0.00511143,-0.000362929,-0.00154535,0.00511539,0,0,0,0,0,0,-0.00101061,0.000650189,0.00118347,6157150.0,551191.0,3841470.0,3946.08,-869.961,-6199.81,6157170.0,551197.0,3841460.0,3946.18,-870.04,-6199.86,7278010.0,2.06086e-05,98.0381,-179.919,5.32349,142.465,8,1,1430138240,391040,2364,520261,0.801536,0.198464,204.264,0,0.0,0,0,0,0,0.00197547,-0.00117885,0.00384665,0.00448207,1,0,65.0,0.00457071,0.114818,0.831916,0.434424,-0.325589,1.5178e-05,-1.6949e-05,2.22728e-05,1.5178e-05,1.6949e-05,-2.22728e-05,65,0.59687,-0.461954,0.00108836,-0.886903,0,0,0,2,1,0,0,0,0,0,1,1,1,65,0.000256018,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:02,-43.51814989246898,31.9980312804506,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
66,2025,5,0,12,37,21,0.557467,-0.759805,900002,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.155886,0.495286,0.419744,-0.74445,0.911238,0.000510034,0.00111985,0.411879,6161100.0,550320.0,3835260.0,3939.65,-870.596,-6204.51,0.00108805,0.000121277,0.00238159,0.00199852,-0.00117002,0.0038215,0.00446844,66,66,66,-7.45005,2.52789,-14.1562,-0.00204355,0.000893168,-0.00435261,0.00203794,-0.000889545,0.00435665,0,0,0,0,0,0,-0.00102058,0.000666106,0.00119859,6161100.0,550323.0,3835270.0,3939.77,-870.514,-6203.81,6161100.0,550320.0,3835260.0,3939.65,-870.596,-6204.51,7278150.0,1.88856e-05,98.038,-179.919,60.5684,87.2783,8,1,1430138241,391041,2364,520278,0.801562,0.198438,204.711,0,0.0,0,0,0,0,0.00199852,-0.00117002,0.0038215,0.00446844,1,0,66.0,0.00453029,0.113061,0.832714,0.433247,-0.325733,1.50822e-05,-1.69857e-05,2.22819e-05,1.50822e-05,1.69857e-05,-2.22819e-05,66,0.596869,-0.462818,0.000137896,-0.886453,0,0,0,2,2,0,0,0,0,0,1,1,1,66,0.00109479,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:03,-43.53361975293751,31.940506317819462,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
67,2025,5,0,12,37,22,0.556464,-0.760076,900001,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.157087,0.496069,0.417933,-0.744695,0.911223,0.000510075,0.00111983,0.411912,6165030.0,549442.0,3829080.0,3933.67,-871.138,-6208.19,0.00104899,0.000592675,0.00271826,0.00199347,-0.00117314,0.00380541,0.00445324,67,67,67,-7.43219,2.53391,-14.0963,-0.00206396,-6.8105e-05,-0.00529861,0.00205831,7.17923e-05,0.0053027,0,0,0,0,0,0,-0.00103072,0.000682296,0.00121394,6165040.0,549450.0,3829060.0,3933.38,-871.099,-6207.76,6165030.0,549442.0,3829080.0,3933.67,-871.138,-6208.19,7278110.0,1.70861e-05,98.0381,-179.919,46.4432,101.462,8,1,1430138242,391042,2364,520295,0.801588,0.198412,205.157,0,0.0,0,0,0,0,0.00199347,-0.00117314,0.00380541,0.00445324,1,0,67.0,0.00464583,0.111039,0.833496,0.432452,-0.325485,1.49865e-05,-1.70212e-05,2.22914e-05,1.49865e-05,1.70212e-05,-2.22914e-05,67,0.59687,-0.463393,0.000330921,-0.886153,0,0,0,1,2,0,0,0,0,0,1,1,1,67,0.00120484,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:04,-43.54914690918556,31.88303865096784,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
68,2025,5,0,12,37,23,0.555462,-0.760346,900002,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.158294,0.496561,0.415962,-0.745215,0.911208,0.000510115,0.00111982,0.411946,6168970.0,548580.0,3822860.0,3927.15,-871.673,-6212.01,0.00139095,0.000308223,0.00291822,0.00198792,-0.0011944,0.00377816,0.00443316,68,68,68,-7.41251,2.58023,-13.9949,-0.00277415,0.000719147,-0.0056164,0.00276848,-0.000715404,0.00562057,0,0,0,0,0,0,-0.00104068,0.000698788,0.00122934,6168960.0,548576.0,3822860.0,3926.99,-871.684,-6211.67,6168970.0,548580.0,3822860.0,3927.15,-871.673,-6212.01,7278030.0,2.31623e-05,98.0383,-179.919,16.2309,131.732,8,1,1430138243,391043,2364,520312,0.801615,0.198385,205.608,0,0.0,0,0,0,0,0.00198792,-0.0011944,0.00377816,0.00443316,1,0,68.0,0.00483878,0.10892,0.834197,0.43153,-0.325629,1.48912e-05,-1.70559e-05,2.23008e-05,1.48912e-05,1.70559e-05,-2.23008e-05,68,0.596871,-0.464643,0.000124743,-0.885498,0,0,0,1,2,0,0,0,0,0,1,1,1,68,0.00142469,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:05,-43.56461676965409,31.82562827989573,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
69,2025,5,0,12,37,24,0.55446,-0.760615,900004,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.159564,0.496735,0.414261,-0.745776,0.911193,0.000510156,0.0011198,0.411979,6172890.0,547708.0,3816660.0,3920.95,-872.473,-6216.32,0.00120581,-0.000447959,0.00269349,0.00197384,-0.0012012,0.00374668,0.00440187,69,69,69,-7.3612,2.59443,-13.8779,-0.00229825,0.002243,-0.00508613,0.00229257,-0.00223921,0.00509034,0,0,0,0,0,0,-0.00105037,0.000715533,0.00124472,6172890.0,547706.0,3816650.0,3920.61,-872.235,-6215.61,6172890.0,547708.0,3816660.0,3920.95,-872.473,-6216.32,7278010.0,2.52473e-05,98.0382,-179.919,14.4645,133.557,8,1,1430138244,391044,2364,520329,0.801641,0.198359,206.063,0,0.0,0,0,0,0,0.00197384,-0.0012012,0.00374668,0.00440187,1,0,69.0,0.00440492,0.106903,0.834661,0.430865,-0.325988,1.47964e-05,-1.70897e-05,2.23101e-05,1.47964e-05,1.70897e-05,-2.23101e-05,69,0.596871,-0.466317,0.000188675,-0.884618,0,0,0,2,2,0,0,0,0,0,1,1,1,69,0.00128633,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:06,-43.58002933434312,31.768217908823623,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
70,2025,5,0,12,37,25,0.553457,-0.760885,900005,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.160482,0.49746,0.412501,-0.746071,0.911178,0.000510197,0.00111978,0.412012,6176800.0,546837.0,3810430.0,3914.59,-872.851,-6220.35,0.00142237,0.000160583,0.00257087,0.00196529,-0.0011802,0.00372129,0.00437072,70,70,70,-7.33043,2.54684,-13.7834,-0.00269095,0.000365398,-0.00478944,0.00268525,-0.000361546,0.00479367,0,0,0,0,0,0,-0.00105996,0.000732789,0.00126035,6176800.0,546835.0,3810430.0,3914.23,-872.793,-6219.54,6176800.0,546837.0,3810430.0,3914.59,-872.851,-6220.35,7277980.0,2.94778e-05,98.0381,-179.919,7.52357,140.556,8,1,1430138245,391045,2364,520346,0.801668,0.198332,206.515,0,0.0,0,0,0,0,0.00196529,-0.0011802,0.00372129,0.00437072,1,0,70.0,0.00426887,0.105141,0.835424,0.42995,-0.325815,1.47017e-05,-1.71226e-05,2.23195e-05,1.47017e-05,1.71226e-05,-2.23195e-05,70,0.596871,-0.46679,-5.7609e-05,-0.884368,0,0,0,2,2,0,0,0,0,0,1,1,1,70,0.00143141,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:07,-43.59549919481165,31.710750241972,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
71,2025,5,0,12,37,26,0.552454,-0.761154,900005,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.161805,0.497751,0.410952,-0.746446,0.911163,0.000510238,0.00111976,0.412045,6180720.0,545941.0,3804220.0,3908.28,-873.203,-6224.24,0.000854787,-0.000216309,0.00248025,0.00195199,-0.0011933,0.00369907,0.0043494,71,71,71,-7.28204,2.57506,-13.7007,-0.00137974,0.00132827,-0.00455571,0.00137402,-0.00132436,0.00455999,0,0,0,0,0,0,-0.00106943,0.000749854,0.00127569,6180720.0,545960.0,3804210.0,3907.84,-873.371,-6223.48,6180720.0,545941.0,3804220.0,3908.28,-873.203,-6224.24,7277990.0,2.78491e-05,98.0382,-179.919,10.4636,137.674,8,1,1430138246,391046,2364,520364,0.801694,0.198306,206.966,0,0.0,0,0,0,0,0.00195199,-0.0011933,0.00369907,0.0043494,1,0,71.0,0.00418313,0.103169,0.835877,0.429439,-0.325955,1.46072e-05,-1.71548e-05,2.2329e-05,1.46072e-05,1.71548e-05,-2.2329e-05,71,0.596871,-0.46814,0.00040549,-0.883654,0,0,0,1,1,0,0,0,0,0,1,1,1,71,0.000881731,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:08,-43.61091175950066,31.653282575120382,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
72,2025,5,0,12,37,27,0.551451,-0.761424,900006,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.162751,0.498237,0.409116,-0.746924,0.911148,0.000510279,0.00111974,0.412078,6184600.0,545090.0,3797980.0,3901.75,-873.967,-6227.95,0.00124543,-0.000177981,0.00226638,0.0019539,-0.00118947,0.00367909,0.00433224,72,72,72,-7.29004,2.56565,-13.6263,-0.00252182,0.000863219,-0.00452925,0.00251607,-0.000859244,0.00453358,0,0,0,0,0,0,-0.00107875,0.000767111,0.00129102,6184620.0,545079.0,3797990.0,3901.45,-873.981,-6227.39,6184600.0,545090.0,3797980.0,3901.75,-873.967,-6227.95,7277970.0,2.98845e-05,98.0385,-179.919,7.93799,140.258,8,1,1430138247,391047,2364,520381,0.801721,0.198279,207.419,0,0.0,0,0,0,0,0.0019539,-0.00118947,0.00367909,0.00433224,1,0,72.0,0.00435059,0.101341,0.83655,0.428478,-0.326067,1.45128e-05,-1.71861e-05,2.23385e-05,1.45128e-05,1.71861e-05,-2.23385e-05,72,0.596873,-0.46913,-3.68764e-05,-0.883129,0,0,0,1,2,0,0,0,0,0,1,1,1,72,0.00125808,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:09,-43.6263816199692,31.59581490826876,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
73,2025,5,0,12,37,28,0.550448,-0.761693,899999,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.164063,0.498786,0.407452,-0.747181,0.911133,0.00051032,0.00111972,0.412112,6188530.0,544199.0,3791760.0,3895.54,-874.534,-6231.9,0.000864313,-6.09102e-05,0.00257985,0.00194274,-0.00119353,0.00365988,0.00431202,73,73,73,-7.2496,2.57378,-13.5547,-0.00153342,0.000710486,-0.00498627,0.00152765,-0.000706448,0.00499065,0,0,0,0,0,0,-0.00108789,0.000784746,0.00130644,6188510.0,544208.0,3791760.0,3895.01,-874.524,-6231.33,6188530.0,544199.0,3791760.0,3895.54,-874.534,-6231.9,7277930.0,3.07592e-05,98.0384,-179.919,-6.67423,154.929,8,1,1430138248,391048,2364,520398,0.801747,0.198253,207.871,0,0.0,0,0,0,0,0.00194274,-0.00119353,0.00365988,0.00431202,1,0,73.0,0.00440722,0.0993123,0.837147,0.427867,-0.325963,1.44186e-05,-1.72165e-05,2.23482e-05,1.44186e-05,1.72165e-05,-2.23482e-05,73,0.596873,-0.470057,0.00044972,-0.882636,0,0,0,2,2,0,0,0,0,0,1,1,1,73,0.000866456,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:10,-43.64179418465821,31.538347241417146,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
74,2025,5,0,12,37,29,0.549445,-0.761962,900007,42.9438,-71.6291,21.5,0.0,0.0,0.0,0.164848,0.499455,0.405648,-0.747542,0.911117,0.00051036,0.0011197,0.412145,6192430.0,543345.0,3785510.0,3888.94,-874.784,-6235.87,0.00134731,0.000520561,0.00232683,0.00194267,-0.00120115,0.00363432,0.00429243,74,74,74,-7.25025,2.58982,-13.4595,-0.00270954,-0.000541997,-0.00455578,0.00270375,0.000546094,0.00456022,0,0,0,0,0,0,-0.00109676,0.000802545,0.00132176,6192410.0,543331.0,3785520.0,3888.67,-875.1,-6235.24,6192430.0,543345.0,3785510.0,3888.94,-874.784,-6235.87,7278010.0,2.75181e-05,98.0385,-179.919,17.9664,130.346,8,1,1430138249,391049,2364,520416,0.801774,0.198226,208.325,0,0.0,0,0,0,0,0.00194267,-0.00120115,0.00363432,0.00429243,1,0,74.0,0.0042179,0.0976348,0.837903,0.42684,-0.325875,1.43247e-05,-1.72462e-05,2.23579e-05,1.43247e-05,1.72462e-05,-2.23579e-05,74,0.596873,-0.470578,-9.31493e-05,-0.882358,0,0,0,2,2,0,0,0,0,0,1,1,1,74,0.00144437,5_144.0_-50,Firesat_Attack_RWA,2025-08-28 20:09:07.084,2025-08-28 20:09:06.953,2070-08-21 12:37:11,-43.65720674934723,31.480879574565517,144.0,-50.0,attack_rwa,Firesat_Attack_RWA_5_144.0_-50,baseline
