FswTime(sec),CurrentYear(year),CurrentMonth(month),CurrentDay(day),CurrentHour(hour),CurrentMinute(min),CurrentSecond(sec),Latitude(rad),Longitude(rad),Altitude(m),RawPrimaryGenericPointData[0](),RawPrimaryGenericPointData[1](),RawPrimaryGenericPointData[2](),RawSecondaryGenericPointData[0](),RawSecondaryGenericPointData[1](),RawSecondaryGenericPointData[2](),Q_B_I[0](1),Q_B_I[1](1),Q_B_I[2](1),Q_B_I[3](1),Q_E_I[0](1),Q_E_I[1](1),Q_E_I[2](1),Q_E_I[3](1),SensedPos_I__GPS[0](m),SensedPos_I__GPS[1](m),SensedPos_I__GPS[2](m),SensedVel_I__GPS[0](m/sec),SensedVel_I__GPS[1](m/sec),SensedVel_I__GPS[2](m/sec),AttitudeError[0](rad),AttitudeError[1](rad),AttitudeError[2](rad),AngVel_B_I[0](rad/sec),AngVel_B_I[1](rad/sec),AngVel_B_I[2](rad/sec),AngVelMag_B_I(rad/sec),LastNewWheelTime__RWA_A(sec),LastNewWheelTime__RWA_B(sec),LastNewWheelTime__RWA_C(sec),SensedWheelSpeed__RWA_A(rad/sec),SensedWheelSpeed__RWA_B(rad/sec),SensedWheelSpeed__RWA_C(rad/sec),WheelCmd__RWA_A(N*m),WheelCmd__RWA_B(N*m),WheelCmd__RWA_C(N*m),DesiredWheelCommand[0](N*m),DesiredWheelCommand[1](N*m),DesiredWheelCommand[2](N*m),WheelSpeedReceived__RWA_A(1),WheelSpeedReceived__RWA_B(1),WheelSpeedReceived__RWA_C(1),WheelTorqueReceived__RWA_A(1),WheelTorqueReceived__RWA_B(1),WheelTorqueReceived__RWA_C(1),TotalTorqueRodCommand[0](A*m^2),TotalTorqueRodCommand[1](A*m^2),TotalTorqueRodCommand[2](A*m^2),Pos_I[0](m),Pos_I[1](m),Pos_I[2](m),Vel_I[0](m/sec),Vel_I[1](m/sec),Vel_I[2](m/sec),ExtrapolatedPos_I[0](m),ExtrapolatedPos_I[1](m),ExtrapolatedPos_I[2](m),ExtrapolatedVel_I[0](m/sec),ExtrapolatedVel_I[1](m/sec),ExtrapolatedVel_I[2](m/sec),SemiMajorAxis(m),Eccentricity(1),Inclination(deg),Raan(deg),ArgPerigee(deg),TrueAnomaly(deg),Mode(),TrackerValid__ST(),GpsTime__GPS(sec),GpsSeconds__GPS(msec),GpsWeek__GPS(),StateOfCharge__BAT(A*hr),PercentSoC__BAT(1),DepthOfDischarge__BAT(1),IncomingCharge__BAT(W),InEclipse(),TotalLoad__BAT(W),IMUAccMag__IMU(m/sec^2),IMUAccUnit__IMU[0](1),IMUAccUnit__IMU[1](1),IMUAccUnit__IMU[2](1),IMURate_B__IMU[0](rad/sec),IMURate_B__IMU[1](rad/sec),IMURate_B__IMU[2](rad/sec),IMURateMag__IMU(rad/sec),IMURateValid__IMU(),LastNewAccTime__IMU(sec),LastNewTrackerTime__ST(sec),TrackerRateMag__ST(rad/sec),TrackerQ_J_ST__ST[0](1),TrackerQ_J_ST__ST[1](1),TrackerQ_J_ST__ST[2](1),TrackerQ_J_ST__ST[3](1),BField_B__TAM[0](T),BField_B__TAM[1](T),BField_B__TAM[2](T),BField_MAG__TAM[0](T),BField_MAG__TAM[1](T),BField_MAG__TAM[2](T),LastNewMagTime__TAM(sec),SunBetaAngle(rad),SunUnit_B[0](1),SunUnit_B[1](1),SunUnit_B[2](1),SunSensorIsGood__MX_SN07_32(),SunSensorIsGood__MXPYPZ_SN07_29(),SunSensorIsGood__MXMYPZ_SN07_29(),SunSensorIsGood__MXMYMZ_SN07_30(),SunSensorIsGood__MXPYMZ_SN07_21(),SunSensorIsGood__PX_SN07_25(),SunSensorIsGood__MXPYPZ_SN07_34(),SunSensorIsGood__PXMYPZ_SN07_33(),SunSensorIsGood__PXMYMZ_SN07_22(),SunSensorIsGood__PXPYMZ_SN07_28(),TrackerDataIsGood__ST(),TrackerRateIsGood__ST(),MagDataIsGood__TAM(),LastNewGpsTime__GPS(sec),AngleToPrimaryTarget(rad),Variant,Run_Batch,date_loaded,date_created,UTC,Longitude(deg),Latitude(deg),TimeDelay,AttackIntensity,Scenario,Run_Batch_Variant,result_label
59,2025,12,0,13,4,14,-1.27901,1.1468,900020,0.0,0.0,0.0,0.0,0.0,0.0,0.763526,0.303527,-0.0164326,0.569762,0.683949,-0.000915951,0.000863771,-0.729528,1831240.0,-982418.0,-6975170.0,-7161.89,-270.54,-1843.26,-0.740509,0.00118651,-0.00125572,0.0643892,-0.000204415,0.000149516,0.0643897,59,59,59,-238.522,0.517149,-0.648542,0.145696,0.00181125,-0.00071564,-0.145696,-0.00193467,0.000633736,0,0,0,0,0,0,-0.00204479,0.00105351,0.000333515,1831240.0,-982429.0,-6975170.0,-7162.11,-270.323,-1842.3,1831240.0,-982418.0,-6975170.0,-7161.89,-270.54,-1843.26,7277670.0,6.77648e-05,98.0381,-179.919,81.673,173.766,4,1,1448629454,133454,2395,521641,0.803662,0.196338,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.0643892,-0.000204415,0.000149516,0.0643897,1.0,0.0,59.0,0.0633611,0.63487,0.0781669,-0.42448,-0.640818,-1.83766e-05,-2.84351e-05,-2.2847e-05,-1.83766e-05,2.84351e-05,2.2847e-05,59.0,-0.924653,-0.999999,-0.000727163,-0.00156712,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,59.0,0.00172761,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:03:56,65.70679994560281,-73.28187495502742,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
60,2025,12,0,13,4,15,-1.2799,1.14501,900022,0.0,0.0,0.0,0.0,0.0,0.0,0.753131,0.328053,0.00216049,0.570237,0.683976,-0.000915919,0.000863805,-0.729503,1824080.0,-982711.0,-6977010.0,-7163.49,-269.368,-1835.84,-0.680666,0.00168533,-0.000995405,0.0661484,-0.000173248,0.00013913,0.0661488,60,60,60,-245.038,0.442532,-0.616656,-0.0110516,0.000145377,-0.00101274,0.0110514,-0.000280991,0.000935752,0,0,0,0,0,0,-0.00209336,0.00111989,0.000245617,1824070.0,-982696.0,-6977010.0,-7163.99,-269.293,-1835.09,1824080.0,-982711.0,-6977010.0,-7163.49,-269.368,-1835.84,7277640.0,7.10885e-05,98.038,-179.919,82.0027,173.494,4,1,1448629455,133455,2395,521676,0.803716,0.196284,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.0661484,-0.000173248,0.00013913,0.0661488,1.0,0.0,60.0,0.0649803,0.61569,0.0583491,-0.433748,-0.655274,-1.84148e-05,-2.98218e-05,-2.09747e-05,-1.84148e-05,2.98218e-05,2.09747e-05,60.0,-0.924655,-0.999998,-0.000362411,-0.00192349,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,60.0,0.00195734,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:03:57,65.6042405002744,-73.33286819879407,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
61,2025,12,0,13,4,16,-1.28079,1.1432,900026,0.0,0.0,0.0,0.0,0.0,0.0,0.741868,0.353068,0.021157,0.569673,0.684003,-0.000915888,0.000863838,-0.729478,1816910.0,-982973.0,-6978840.0,-7165.64,-268.644,-1828.44,-0.618441,0.00130494,-0.00131054,0.0660427,-0.000172629,0.000125587,0.066043,61,61,61,-244.644,0.43524,-0.572898,-0.133237,0.000884753,-8.93534e-05,0.133237,-0.00102873,2.03941e-05,0,0,0,0,0,0,-0.00214428,0.00117952,0.000151749,1816910.0,-982972.0,-6978840.0,-7165.84,-268.322,-1827.89,1816910.0,-982973.0,-6978840.0,-7165.64,-268.644,-1828.44,7277610.0,7.64929e-05,98.0382,-179.919,84.1873,171.368,4,1,1448629456,133456,2395,521711,0.803769,0.196231,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.0660427,-0.000172629,0.000125587,0.066043,1.0,0.0,61.0,0.0667501,0.595568,0.0375344,-0.442849,-0.66916,-1.84521e-05,-3.1101e-05,-1.89941e-05,-1.84521e-05,3.1101e-05,1.89941e-05,61.0,-0.92465,-0.999998,-0.000842796,-0.00164623,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,61.0,0.00184943,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:03:58,65.5005351393557,-73.38386144256071,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
62,2025,12,0,13,4,17,-1.28167,1.14138,900028,0.0,0.0,0.0,0.0,0.0,0.0,0.729775,0.376809,0.0393816,0.569115,0.684029,-0.000915856,0.000863871,-0.729454,1809750.0,-983239.0,-6980680.0,-7167.66,-267.717,-1821.35,-0.557646,0.001702,-0.000354209,0.0644762,-0.000158796,0.00012301,0.0644765,62,62,62,-238.839,0.39814,-0.569459,-0.21,-0.000205096,-0.00193785,0.221845,5.65581e-05,0.00187882,0,0,0,0,0,0,-0.00219697,0.00123178,5.3874e-05,1809750.0,-983240.0,-6980670.0,-7167.71,-267.309,-1820.69,1809750.0,-983239.0,-6980680.0,-7167.66,-267.717,-1821.35,7277610.0,7.73283e-05,98.0382,-179.919,85.7658,169.848,4,1,1448629457,133457,2395,521745,0.803823,0.196177,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.0644762,-0.000158796,0.00012301,0.0644765,1.0,0.0,62.0,0.0645723,0.575209,0.0177675,-0.450842,-0.68232,-1.84888e-05,-3.22344e-05,-1.69639e-05,-1.84888e-05,3.22344e-05,1.69639e-05,62.0,-0.92465,-0.999998,0.000134394,-0.00173326,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,62.0,0.00173846,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:03:59,65.39625682064191,-73.43428172853223,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
63,2025,12,0,13,4,18,-1.28256,1.13955,900036,0.0,0.0,0.0,0.0,0.0,0.0,0.71746,0.400017,0.0574913,0.567391,0.684056,-0.000915825,0.000863905,-0.729429,1802580.0,-983509.0,-6982500.0,-7169.35,-266.274,-1814.12,-0.496918,0.00129865,-0.000628212,0.061875,-0.000164907,9.87912e-05,0.0618753,63,63,63,-229.201,0.405146,-0.485417,-0.21,0.00072911,-0.000869439,0.288531,-0.000878762,0.000821014,0,0,0,0,0,0,-0.00225095,0.0012758,-4.44723e-05,1802580.0,-983507.0,-6982490.0,-7169.56,-266.293,-1813.52,1802580.0,-983509.0,-6982500.0,-7169.35,-266.274,-1814.12,7277620.0,7.8937e-05,98.0382,-179.919,90.6501,165.022,4,1,1448629458,133458,2395,521780,0.803877,0.196123,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.061875,-0.000164907,9.87912e-05,0.0618753,1.0,0.0,63.0,0.0639162,0.554733,-0.00223274,-0.458612,-0.694219,-1.85248e-05,-3.32046e-05,-1.49361e-05,-1.85248e-05,3.32046e-05,1.49361e-05,63.0,-0.924651,-0.999999,-0.000285852,-0.00141401,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,63.0,0.00144262,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:00,65.29140554413297,-73.48527497229885,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
64,2025,12,0,13,4,19,-1.28345,1.13772,900037,0.0,0.0,0.0,0.0,0.0,0.0,0.705119,0.421331,0.0742969,0.56548,0.684082,-0.000915793,0.000863938,-0.729404,1795400.0,-983776.0,-6984290.0,-7171.24,-265.462,-1807.34,-0.439753,0.00116995,-0.00036186,0.0590804,-0.000154066,8.71028e-05,0.0590807,64,64,64,-218.846,0.374341,-0.447373,-0.21,0.000758774,-0.0011459,0.344027,-0.000907955,0.00110768,0,0,0,0,0,0,-0.00230623,0.0013123,-0.000141625,1795410.0,-983774.0,-6984300.0,-7171.43,-265.285,-1806.31,1795400.0,-983776.0,-6984290.0,-7171.24,-265.462,-1807.34,7277650.0,7.51437e-05,98.0382,-179.919,92.5057,163.224,4,1,1448629459,133459,2395,521815,0.80393,0.19607,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.0590804,-0.000154066,8.71028e-05,0.0590807,1.0,0.0,64.0,0.0597557,0.534985,-0.0207881,-0.4653,-0.70488,-1.85598e-05,-3.40138e-05,-1.29435e-05,-1.85598e-05,3.40138e-05,1.29435e-05,64.0,-0.92465,-0.999999,-9.5759e-05,-0.00122089,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,64.0,0.00122464,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:01,65.18655426762402,-73.53626821606551,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
65,2025,12,0,13,4,20,-1.28433,1.13587,900033,0.0,0.0,0.0,0.0,0.0,0.0,0.692731,0.44144,0.0901126,0.563147,0.684109,-0.000915762,0.000863972,-0.729379,1788230.0,-984033.0,-6986110.0,-7172.83,-264.844,-1799.74,-0.384876,0.000691992,0.000100214,0.05628,-0.000142565,7.23537e-05,0.0562803,65,65,65,-208.47,0.342037,-0.397584,-0.21,0.00147416,-0.00175009,0.394815,-0.0016218,0.00172137,0,0,0,0,0,0,-0.00236285,0.00134199,-0.00023592,1788230.0,-984039.0,-6986100.0,-7173.31,-264.268,-1799.07,1788230.0,-984033.0,-6986110.0,-7172.83,-264.844,-1799.74,7277670.0,7.0601e-05,98.0382,-179.919,90.3817,165.407,4,1,1448629460,133460,2395,521850,0.803984,0.196016,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.05628,-0.000142565,7.23537e-05,0.0562803,1.0,0.0,65.0,0.0570439,0.515765,-0.0385991,-0.47115,-0.714503,-1.8594e-05,-3.46732e-05,-1.10047e-05,-1.8594e-05,3.46732e-05,1.10047e-05,65.0,-0.92465,-1.0,0.000231506,-0.000659773,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,65.0,0.000699211,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:02,65.08055707552481,-73.58668850203702,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
66,2025,12,0,13,4,21,-1.28521,1.13401,900037,0.0,0.0,0.0,0.0,0.0,0.0,0.680277,0.4604,0.105831,0.560407,0.684136,-0.00091573,0.000864005,-0.729354,1781050.0,-984296.0,-6987900.0,-7174.94,-263.853,-1792.66,-0.331248,0.000893766,-0.000192855,0.0534796,-0.000117938,5.05228e-05,0.0534798,66,66,66,-198.095,0.280564,-0.321164,-0.21,0.00055474,-0.000695693,0.443114,-0.000699843,0.00067569,0,0,0,0,0,0,-0.0024203,0.00136566,-0.000326813,1781060.0,-984300.0,-6987900.0,-7175.16,-263.23,-1791.88,1781050.0,-984296.0,-6987900.0,-7174.94,-263.853,-1792.66,7277700.0,6.82274e-05,98.0381,-179.919,94.501,161.346,4,1,1448629461,133461,2395,521885,0.804038,0.195962,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.0534796,-0.000117938,5.05228e-05,0.0534798,1.0,0.0,66.0,0.0554682,0.496548,-0.0557013,-0.476882,-0.723133,-1.8627e-05,-3.51972e-05,-9.13163e-06,-1.8627e-05,3.51972e-05,9.13163e-06,66.0,-0.924653,-1.0,-4.21624e-05,-0.000913364,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,66.0,0.000914337,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:03,64.97398692563048,-73.63710878800853,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
67,2025,12,0,13,4,22,-1.2861,1.13214,900036,0.0,0.0,0.0,0.0,0.0,0.0,0.667866,0.478194,0.120557,0.557451,0.684162,-0.000915699,0.000864038,-0.729329,1773890.0,-984561.0,-6989680.0,-7176.39,-262.622,-1785.53,-0.28004,0.000901525,-0.000122374,0.0506792,-0.000110041,4.11764e-05,0.0506793,67,67,67,-187.719,0.256342,-0.290629,-0.21,0.0003764,-0.000632028,0.486617,-0.000518098,0.000619913,0,0,0,0,0,0,-0.00247848,0.00138421,-0.000413402,1773880.0,-984561.0,-6989690.0,-7177.0,-262.203,-1784.64,1773890.0,-984561.0,-6989680.0,-7176.39,-262.622,-1785.53,7277700.0,6.84403e-05,98.0381,-179.919,93.0851,162.82,4,1,1448629462,133462,2395,521920,0.804091,0.195909,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.0506792,-0.000110041,4.11764e-05,0.0506793,1.0,0.0,67.0,0.0527752,0.477935,-0.0719726,-0.481827,-0.730918,-1.86591e-05,-3.56002e-05,-7.33395e-06,-1.86591e-05,3.56002e-05,7.33395e-06,67.0,-0.924654,-1.0,5.0633e-06,-0.000909779,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,67.0,0.000909793,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:04,64.86684381794102,-73.68810203177517,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
68,2025,12,0,13,4,23,-1.28698,1.13026,900034,0.0,0.0,0.0,0.0,0.0,0.0,0.656141,0.49429,0.134074,0.554239,0.684189,-0.000915667,0.000864072,-0.729304,1766720.0,-984834.0,-6991470.0,-7178.42,-261.514,-1778.47,-0.232826,0.000726065,-0.000388401,0.0478787,-0.000105494,3.27655e-05,0.0478788,68,68,68,-177.343,0.239646,-0.263243,-0.21,0.000635783,8.41238e-05,0.522075,-0.000773306,-8.9186e-05,0,0,0,0,0,0,-0.00253743,0.0013987,-0.000494948,1766710.0,-984824.0,-6991470.0,-7178.78,-261.194,-1777.39,1766720.0,-984834.0,-6991470.0,-7178.42,-261.514,-1778.47,7277600.0,8.07798e-05,98.0381,-179.919,88.6976,167.265,4,1,1448629463,133463,2395,521954,0.804145,0.195855,441.421,0.0,23.3333,0.0,0.0,0.0,0.0,0.0478787,-0.000105494,3.27655e-05,0.0478788,1.0,0.0,68.0,0.0485646,0.460578,-0.0870005,-0.486174,-0.737519,-1.86907e-05,-3.5896e-05,-5.61953e-06,-1.86907e-05,3.5896e-05,5.61953e-06,68.0,-0.924653,-1.0,-0.000301237,-0.000766343,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,68.0,0.000823423,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:05,64.75912775245642,-73.73852231774669,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
69,2025,12,0,13,4,24,-1.28786,1.12837,900041,0.0,0.0,0.0,0.0,0.0,0.0,0.644244,0.509873,0.146492,0.550926,0.684215,-0.000915636,0.000864105,-0.729279,1759530.0,-985089.0,-6993270.0,-7180.38,-260.636,-1770.88,-0.187169,-0.000251497,0.000454518,0.0450781,-9.61507e-05,3.28895e-05,0.0450782,69,69,69,-166.967,0.212437,-0.267193,-0.21,0.00239909,-0.00159816,0.554386,-0.00253176,0.00159927,0,0,0,0,0,0,-0.00259709,0.00141023,-0.000571962,1759530.0,-985089.0,-6993250.0,-7180.59,-260.205,-1770.2,1759530.0,-985089.0,-6993270.0,-7180.38,-260.636,-1770.88,7277600.0,8.32355e-05,98.0382,-179.918,92.706,163.315,4,1,1448629464,133464,2395,521989,0.804199,0.195801,441.422,0.0,23.3333,0.0,0.0,0.0,0.0,0.0450781,-9.61507e-05,3.28895e-05,0.0450782,1.0,0.0,69.0,0.046886,0.443709,-0.101665,-0.489523,-0.743743,-1.87219e-05,-3.60985e-05,-3.99482e-06,-1.87219e-05,3.60985e-05,3.99482e-06,69.0,-0.92465,-1.0,0.000428987,0.000292929,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,69.0,0.000519459,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:06,64.65083872917671,-73.7889426037182,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
70,2025,12,0,13,4,25,-1.28874,1.12646,900050,0.0,0.0,0.0,0.0,0.0,0.0,0.6331,0.523475,0.158805,0.547667,0.684242,-0.000915604,0.000864139,-0.729254,1752360.0,-985363.0,-6995000.0,-7182.06,-259.291,-1764.06,-0.14486,0.000528118,-0.00010474,0.0422776,-5.43873e-05,1.32557e-05,0.0422776,70,70,70,-156.591,0.113336,-0.197696,-0.21,-3.37789e-05,-6.10256e-05,0.580099,-9.34068e-05,6.74575e-05,0,0,0,0,0,0,-0.00265727,0.00141956,-0.000644011,1752350.0,-985351.0,-6995020.0,-7182.4,-259.199,-1763.03,1752360.0,-985363.0,-6995000.0,-7182.06,-259.291,-1764.06,7277640.0,8.11954e-05,98.0382,-179.918,99.3026,156.777,4,1,1448629465,133465,2395,522024,0.804252,0.195748,441.422,0.0,23.3333,0.0,0.0,0.0,0.0,0.0422776,-5.43873e-05,1.32557e-05,0.0422776,1.0,0.0,70.0,0.0434251,0.427519,-0.114676,-0.493217,-0.748875,-1.87524e-05,-3.6221e-05,-2.46523e-06,-1.87524e-05,3.6221e-05,2.46523e-06,70.0,-0.92465,-1.0,-6.62137e-05,-0.000534317,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,70.0,0.000538404,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:07,64.54140379030672,-73.83936288968971,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
71,2025,12,0,13,4,26,-1.28961,1.12455,900042,0.0,0.0,0.0,0.0,0.0,0.0,0.622225,0.536348,0.169766,0.544377,0.684269,-0.000915573,0.000864172,-0.729229,1745180.0,-985591.0,-6996760.0,-7184.1,-258.334,-1756.62,-0.105154,0.000340022,0.000258511,0.0394769,-5.6907e-05,1.16703e-05,0.039477,71,71,71,-146.216,0.112882,-0.194817,-0.21,0.000401489,-0.000749755,0.600522,-0.000522642,0.000760595,0,0,0,0,0,0,-0.0027173,0.00142715,-0.000709749,1745170.0,-985612.0,-6996770.0,-7184.19,-258.197,-1755.73,1745180.0,-985591.0,-6996760.0,-7184.1,-258.334,-1756.62,7277550.0,8.94845e-05,98.0383,-179.918,91.3722,164.766,4,1,1448629466,133466,2395,522059,0.804306,0.195694,441.422,0.0,23.3333,0.0,0.0,0.0,0.0,0.0394769,-5.6907e-05,1.16703e-05,0.039477,1.0,0.0,71.0,0.0407417,0.412323,-0.127109,-0.495957,-0.753564,-1.87823e-05,-3.62761e-05,-1.03438e-06,-1.87823e-05,3.62761e-05,1.03438e-06,71.0,-0.924647,-1.0,0.000276031,-0.00032596,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,71.0,0.000427133,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:08,64.43196885143672,-73.8892102178661,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
72,2025,12,0,13,4,27,-1.29049,1.12263,900038,0.0,0.0,0.0,0.0,0.0,0.0,0.61178,0.548175,0.18032,0.54103,0.684295,-0.000915541,0.000864205,-0.729204,1737960.0,-985860.0,-6998530.0,-7185.52,-257.448,-1749.43,-0.067598,0.000553516,0.000140538,0.0366763,-5.167e-05,2.14533e-06,0.0366763,72,72,72,-135.84,0.0954202,-0.162344,-0.21,-0.000129222,-0.000309757,0.616604,1.45804e-05,0.000324151,0,0,0,0,0,0,-0.00277758,0.00143413,-0.000770174,1737990.0,-985860.0,-6998520.0,-7185.98,-257.117,-1748.47,1737960.0,-985860.0,-6998530.0,-7185.52,-257.448,-1749.43,7277520.0,9.24896e-05,98.0381,-179.919,88.192,168.004,4,1,1448629467,133467,2395,522094,0.80436,0.19564,441.422,0.0,23.3333,0.0,0.0,0.0,0.0,0.0366763,-5.167e-05,2.14533e-06,0.0366763,1.0,0.0,72.0,0.0385517,0.397714,-0.138716,-0.498612,-0.757606,-1.8812e-05,-3.62759e-05,2.95346e-07,-1.8812e-05,3.62759e-05,-2.95346e-07,72.0,-0.924654,-1.0,0.000159166,-0.00054845,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,72.0,0.000571079,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:09,64.32196095477161,-73.9396305038376,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
73,2025,12,0,13,4,28,-1.29137,1.12069,900037,0.0,0.0,0.0,0.0,0.0,0.0,0.602276,0.558751,0.1898,0.537621,0.684322,-0.00091551,0.000864239,-0.729179,1730800.0,-986110.0,-7000270.0,-7187.67,-256.693,-1742.07,-0.03372,0.000384635,-0.000329507,0.0338756,-5.59979e-05,-2.22039e-06,0.0338756,73,73,73,-125.464,0.0994932,-0.148839,-0.21,0.000306569,0.000724926,0.625468,-0.000414283,-0.000707834,0,0,0,0,0,0,-0.00283798,0.00144114,-0.000825397,1730790.0,-986116.0,-7000270.0,-7187.85,-256.091,-1741.24,1730800.0,-986110.0,-7000270.0,-7187.67,-256.693,-1742.07,7277670.0,7.23818e-05,98.0381,-179.919,91.8669,164.387,4,1,1448629468,133468,2395,522129,0.804413,0.195587,441.422,0.0,23.3333,0.0,0.0,0.0,0.0,0.0338756,-5.59979e-05,-2.22039e-06,0.0338756,1.0,0.0,73.0,0.0348532,0.384491,-0.149335,-0.500926,-0.76088,-1.88412e-05,-3.62315e-05,1.52217e-06,-1.88412e-05,3.62315e-05,-1.52217e-06,73.0,-0.924655,-1.0,-0.000322975,-0.000390136,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,73.0,0.000506477,12_252.0_25,Firesat_Attack_RWB,2025-08-28 23:29:36.156,2025-08-28 23:29:36.026,2071-10-26 13:04:10,64.21080714251623,-73.99005078980912,252.0,25.0,attack_rwb,Firesat_Attack_RWB_12_252.0_25,baseline
